epoch,acc,loss,val_acc,val_loss
0,0.9392,0.38510177586873373,0.9744,0.267946874332428
1,0.9648166666666667,0.2845864369869232,0.9786,0.23470632588863372
2,0.97,0.2611478370587031,0.9773,0.24062219896316528
3,0.9710833333333333,0.24922614758809408,0.9803,0.22059170186519622
4,0.9724666666666667,0.23809139139652252,0.98,0.2120354260444641
5,0.9746333333333334,0.22719514601230623,0.9772,0.2107818579673767
6,0.97385,0.2223455646276474,0.9787,0.2076178045988083
7,0.9755333333333334,0.2173169202566147,0.9797,0.19400671284198762
8,0.9751166666666666,0.2138279488960902,0.98,0.19897356646060943
9,0.9764666666666667,0.2078517914056778,0.9808,0.1880264925479889
10,0.97585,0.20473884821732838,0.9828,0.18098422508239745
11,0.9765,0.19978899276256562,0.9779,0.19522744879722595
12,0.97585,0.19822947789827983,0.9823,0.1810086531639099
13,0.97655,0.1932554085969925,0.9806,0.18028532078266143
14,0.9767666666666667,0.1918848749756813,0.9827,0.16884039025306702
15,0.9773833333333334,0.1876855870525042,0.9849,0.1654779934644699
16,0.9757833333333333,0.1895735356648763,0.982,0.1708793943166733
17,0.97695,0.1850705340107282,0.9799,0.17521474292278288
18,0.97775,0.18172518954674402,0.9814,0.16631817889213563
19,0.97705,0.18203318680524827,0.9831,0.16395153070688248
20,0.97725,0.1802120218594869,0.9836,0.1609538426399231
21,0.9773833333333334,0.17829119905630747,0.9854,0.1501019843816757
22,0.9773666666666667,0.17766218830744426,0.9841,0.15586152033805847
23,0.9780666666666666,0.1746262044429779,0.9799,0.16634214009046555
24,0.9780833333333333,0.1741711903532346,0.9833,0.16049702515602113
25,0.9784833333333334,0.1716038793126742,0.9846,0.1520492909193039
26,0.97805,0.17198040000597636,0.9816,0.16148993091583252
27,0.9775166666666667,0.17359541869958242,0.9801,0.16132409163713454
28,0.9780166666666666,0.1697790286978086,0.9838,0.15447749140262604
29,0.97845,0.17004011925856272,0.9849,0.14752003744840622
30,0.9784833333333334,0.1678265764037768,0.9847,0.14764054691791534
31,0.9780166666666666,0.16757616296211877,0.9823,0.1545929381132126
32,0.9780333333333333,0.1675603058775266,0.9846,0.14667365572452545
33,0.9783333333333334,0.1666134136279424,0.9822,0.1528301436781883
34,0.9790666666666666,0.16635949137210845,0.9822,0.15114546101093293
35,0.97795,0.16590615400473277,0.985,0.14794389412403106
36,0.9783333333333334,0.16464755169550577,0.9795,0.16385394761562347
37,0.9786666666666667,0.1654744582573573,0.9831,0.15036284168958663
38,0.9784833333333334,0.1643137692173322,0.9851,0.1407414391517639
39,0.9789666666666667,0.16196268006165823,0.9865,0.13938043333292008
40,0.9791333333333333,0.16143608332475026,0.985,0.13982759251594543
41,0.9794666666666667,0.16047729234695435,0.9833,0.14374176950454712
42,0.9784333333333334,0.16237816894054413,0.9802,0.15237317212820053
43,0.9792666666666666,0.15964524155457815,0.985,0.14053738193511964
44,0.9787666666666667,0.15959803010225296,0.9842,0.14246327698230743
45,0.9782166666666666,0.1600628356138865,0.9841,0.14212254316806794
46,0.9794666666666667,0.1582092494448026,0.9855,0.14034818480014802
47,0.9788333333333333,0.1585136329372724,0.9814,0.15330533303022384
48,0.97925,0.15725732923348745,0.9847,0.13863613939285277
49,0.9782666666666666,0.15918934808572133,0.9827,0.14463107134103775
50,0.97865,0.15706548930009206,0.9829,0.14753750059604645
51,0.9786666666666667,0.1579775691072146,0.9826,0.1443291195631027
52,0.9788666666666667,0.157117309431235,0.9824,0.14265779862403868
53,0.9789833333333333,0.15634071302811306,0.9827,0.14572977049350738
54,0.9785,0.15665879216988882,0.9841,0.14287135379314422
55,0.9796,0.1543819665869077,0.9859,0.1362298315167427
56,0.9791333333333333,0.15425924193461735,0.9819,0.14853561805486679
57,0.9786333333333334,0.15730834126075108,0.9829,0.14303406927585602
58,0.9796333333333334,0.15102231232325236,0.9804,0.1492581747531891
59,0.9788333333333333,0.15470414218107859,0.9847,0.1337464145183563
60,0.9788,0.15374351187149685,0.9869,0.13239367561340332
61,0.9792,0.15224430032571157,0.9829,0.14292665585279465
62,0.9795333333333334,0.15339389626582464,0.9857,0.13258336808681487
63,0.9799166666666667,0.1507848339120547,0.9804,0.14862529804706573
64,0.9791666666666666,0.15170377921263378,0.9829,0.13886098695993424
65,0.9793833333333334,0.15276944991747538,0.9868,0.1336836119055748
66,0.97955,0.15051512929201127,0.9852,0.13231748641729354
67,0.98015,0.15034402026335397,0.984,0.13597796008586885
68,0.9791,0.15307084729671477,0.984,0.1353374978661537
